feature,importance_mean,importance_std
gross_weight_ratio,15532.741063401085,190.28396068832618
cumulative_wear_pct,8335.169861679782,282.6732388923084
dynamic_load_coefficient,1575.379385615557,70.72453994564037
suspension_is_air,371.81873964901325,12.19300214112328
road_iri_m_per_km,305.9772898270611,8.202045503068693
speed_kmh,286.387628449249,15.914781545057865
tire_pressure_ratio,12.434464465219913,2.2021487679521714
axle_count,0.3132718564757283,0.16158988729680937
payload_ratio,0.0,0.0
trip_distance_km,-0.03708961597784537,0.28093152641053204
